alpha,beta,delta,gamma,type,name,hurst,obs,date_min,date_max,stdev,avg,kurtosis,skewness,min,max,q_1,q_2_5,q_5,q_10,q_25,q_50,q_75,q_90,q_95,q_97_5,q_99,cv,range,std_range,var_01,var_025,var_05,var_10,es_01,es_025,es_05,es_10,rho,Factor1,Factor2,Factor3
1.791125269,0.162085265,-0.368892448,1.095568128,Stock,MU,0.676180264,1005,10/21/2014,10/16/2018,0.028701541,0.000373395,3.91858102,-0.283545719,-0.200300702,0.119401464,-0.077821997,-0.058556906,-0.047116214,-0.032118357,-0.013580027,0.000556174,0.016199262,0.031834501,0.042753214,0.055769846,0.083131925,76.86650686,0.319702166,11.13885022,0.077821997,0.058556906,0.047116214,0.032118357,0.099346577,0.08078628,0.066777273,0.052647692,0.033618243,0.838408949,-0.401273147,1.278358571
1.787276237,0.015076669,-0.23597042,1.038144048,Stock,MYL,0.447948668,1005,10/21/2014,10/16/2018,0.022963742,-0.000416287,11.28802423,-0.327915324,-0.199001314,0.150146366,-0.057974301,-0.043562443,-0.033389309,-0.025567545,-0.01250248,0.000691939,0.011308496,0.023390065,0.031907232,0.04376839,0.052909954,-55.16323722,0.349147681,15.20430237,0.057974301,0.043562443,0.033389309,0.025567545,0.085257008,0.063765179,0.051840198,0.040488923,0.002194593,0.506000651,-0.108719445,-0.569438822
1.693347456,0.108808382,-0.08967965,1.024193861,Stock,M_M,0.62702746,1005,10/21/2014,10/16/2018,0.023872436,-0.000529786,14.045585,-1.291102532,-0.186419923,0.157757638,-0.068832679,-0.043556453,-0.033995232,-0.022889079,-0.011101836,0.000329468,0.011276198,0.022213263,0.030609539,0.040174596,0.054505899,-45.06054185,0.344177561,14.41736249,0.068832679,0.043556453,0.033995232,0.022889079,0.11968549,0.078975897,0.058988889,0.043407256,0.027912288,0.244846751,0.62161655,1.315678609
1.856696103,-0.00634036,0.046381152,1.068785576,Stock,NBL,0.470726234,1005,10/21/2014,10/16/2018,0.023607731,-0.000589545,1.89804938,0.005841026,-0.100678705,0.102617026,-0.062865869,-0.050804612,-0.037944989,-0.028214014,-0.013711651,-0.001384194,0.012939205,0.026656872,0.038577953,0.047230889,0.057731813,-40.04399599,0.203295731,8.611405009,0.062865869,0.050804612,0.037944989,0.028214014,0.077076599,0.064776088,0.054004511,0.043545469,0.029473304,0.65864645,-0.633725402,-0.238018807
1.780446599,-0.005338813,0.04628203,1.035535612,Stock,NCLH,0.551143238,1005,10/21/2014,10/16/2018,0.019896077,0.000453276,4.049574279,-0.499708991,-0.125054497,0.073498766,-0.061365667,-0.039641799,-0.029010153,-0.02142932,-0.009850162,0.000552214,0.011489335,0.022551144,0.031257853,0.037278806,0.054456454,43.89396816,0.198553263,9.979518078,0.061365667,0.039641799,0.029010153,0.02142932,0.078889496,0.061452062,0.047405756,0.03615316,-0.004881577,0.26473686,-0.185462406,0.095165033
1.865842198,0.030387605,-0.05163174,1.086967728,Stock,NDAQ,0.373235235,1005,10/21/2014,10/16/2018,0.011475194,0.000695179,2.140331571,0.177579846,-0.04949872,0.067181607,-0.028271822,-0.023410779,-0.018479253,-0.012872518,-0.005681844,0.000594923,0.007152392,0.014141222,0.019195188,0.025271493,0.031887047,16.50682199,0.116680328,10.1680485,0.028271822,0.023410779,0.018479253,0.012872518,0.032989305,0.028533234,0.024745071,0.019997599,-0.027407733,-0.212830266,-0.623851132,-1.560008318
1.831666785,0.132847669,-0.512416947,1.054202181,Stock,NEE,0.42835632,1005,10/21/2014,10/16/2018,0.01041427,0.000585188,2.784068015,-0.341913234,-0.063319591,0.048732288,-0.029737262,-0.022174583,-0.016309491,-0.01167046,-0.005082485,0.001142478,0.006539273,0.012012413,0.016023538,0.021881832,0.02576944,17.79646117,0.112051879,10.75945568,0.029737262,0.022174583,0.016309491,0.01167046,0.036125595,0.029518642,0.024344779,0.018915211,-0.014006598,-0.426095425,-0.343669909,-0.829556105
1.743748499,-0.094285868,0.262072213,1.101480839,Stock,NEM,0.566861583,1005,10/21/2014,10/16/2018,0.024574951,0.000344086,2.817193122,-0.21936888,-0.130429167,0.107152631,-0.071397718,-0.056930795,-0.035970821,-0.025683541,-0.012315458,0.000277068,0.012214677,0.028955805,0.039792705,0.050267634,0.066748463,71.42094191,0.237581798,9.66764072,0.071397718,0.056930795,0.035970821,0.025683541,0.089162333,0.073541688,0.059091768,0.044995821,-0.033894567,0.742326966,-0.276978906,-0.210686987
1.69503416,-0.025530261,0.303579172,1.041947748,Stock,NFLX,0.471919056,1005,10/21/2014,10/16/2018,0.02589212,0.001900069,8.945661525,0.696748989,-0.140713742,0.174189023,-0.070533132,-0.049593791,-0.035006677,-0.022494554,-0.010440733,0.000291097,0.014335355,0.029709617,0.038633831,0.048717574,0.071658518,13.62693675,0.314902766,12.1621084,0.070533132,0.049593791,0.035006677,0.022494554,0.091763296,0.071336163,0.056106659,0.042310087,0.028571287,0.642518247,-0.223352996,0.088487813
1.840890251,0.11957355,-0.361435591,1.073499074,Stock,NFX,0.44300308,1005,10/21/2014,10/16/2018,0.028498684,-0.000102871,3.140323344,-0.127429725,-0.176305209,0.145417073,-0.07498748,-0.055678827,-0.047134994,-0.034720003,-0.015242434,0,0.016141819,0.032894248,0.043116183,0.05544996,0.072180749,-277.0330875,0.321722282,11.28902257,0.07498748,0.055678827,0.047134994,0.034720003,0.095958638,0.077942041,0.065003916,0.05246397,-0.004107795,1.172535886,-0.570345279,-0.942844784
1.855335006,0.127676658,-0.461227705,1.033988034,Stock,NI,0.47848903,1005,10/21/2014,10/16/2018,0.012646676,0.000449926,10.10773987,-1.104497312,-0.124617193,0.043185699,-0.031155169,-0.023405838,-0.019793391,-0.014443667,-0.006457541,0.001110531,0.007878913,0.013708511,0.018790153,0.025565943,0.031227306,28.10834163,0.167802892,13.26853747,0.031155169,0.023405838,0.019793391,0.014443667,0.047845266,0.035798281,0.028815375,0.022873286,-0.04574998,-0.246104405,-0.094102216,-1.032040178
